TITLE,NAME,GPIO OEN,GPIO Out,GPIO In,Always On JTAG,Always On Remote,Always On UART,UART PMIC,Always On I2C-Master,Always On I2C-Slave,Audio In,Audio OUT,FEC-A (in),FEC-B (in),FEC-C (in),FEC OUT,Encoder,PWM,VGHL/LED_BL,mLVDS,TCON,HDMI,LCD OUT,LCD IN,VGA,UART-A,UART-B,UART-C,SDIO-A,SDIO-B,SDIO-C,SDXC,I2C Master,I2C SLAVE,SPI,Ethernet,ITU601 In,ISO7816,PCM,NAND,NAND,Clock Out,WD GPIO,Production
REG_ADDR,REG 0x202c,AO_REG 0x14,0x200c,0x200d,0x200e,0xc8100024 ,0xc8100026 ,0xc8100028 ,0x2008,0x2009,0x200a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIAS_GPIO_BASE,0x200c P_GPIO_OEN 3 6 CBUS_REG_ADDR,0x200d P_GPIO_OUT 3 6 CBUS_REG_ADDR,0x200e P_GPIO_IN 3 6 CBUS_REG_ADDR,0x2008 P_GPIO_OEN 6 CBUS_REG_ADDR,0x2009 P_GPIO_OUT 6 CBUS_REG_ADDR,0x200a P_GPIO_IN 6 CBUS_REG_ADDR,0xc8100024 P_GPIO_OEN AO AOBUS_REG_ADDR_MASK,0xc8100026 P_GPIO_OUT AO  AOBUS_REG_ADDR_MASK,0xc8100028 P_GPIO_IN AO  AOBUS_REG_ADDR_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALIAS_PINMUX,REG P_PIN_MUX_REG 1 10 CBUS_REG_ADDR,AO_REG P_PIN_MUX_REG AO AOBUS_REG_ADDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slave,,,,,,,,,,
PAD,GPIOZ_0,0x2008 bit[16],0x2009 bit[16],0x200a bit[16],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIR REG9[18] IDQ REG9[17],,,,,,,
PAD,GPIOZ_1,0x2008 bit[17],0x2009 bit[17],0x200a bit[17],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HS REG9[16],,,,,,,
PAD,GPIOZ_2,0x2008 bit[18],0x2009 bit[18],0x200a bit[18],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS REG9[15],,,,,,,
PAD,GPIOZ_3,0x2008 bit[19],0x2009 bit[19],0x200a bit[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D0 REG9[14],,,,,,,
PAD,GPIOZ_4,0x2008 bit[20],0x2009 bit[20],0x200a bit[20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D1 REG9[14],,,,,,,
PAD,GPIOZ_5,0x2008 bit[21],0x2009 bit[21],0x200a bit[21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D2 REG9[14],,,,,,,
PAD,GPIOZ_6,0x2008 bit[22],0x2009 bit[22],0x200a bit[22],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D3 REG9[14],,,,,,,
PAD,GPIOZ_7,0x2008 bit[23],0x2009 bit[23],0x200a bit[23],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D4 REG9[14],,,,,,,
PAD,GPIOZ_8,0x2008 bit[24],0x2009 bit[24],0x200a bit[24],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5 REG9[14],,,,,,,
PAD,GPIOZ_9,0x2008 bit[25],0x2009 bit[25],0x200a bit[25],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6 REG9[14],,,,,,,
PAD,GPIOZ_10,0x2008 bit[26],0x2009 bit[26],0x200a bit[26],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D7 REG9[14],,,,,,,
PAD,GPIOZ_11,0x2008 bit[27],0x2009 bit[27],0x200a bit[27],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLK REG9[13],,,,,,,
PAD,GPIOZ_12,0x2008 bit[28],0x2009 bit[28],0x200a bit[28],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLK_OUT REG9[12],,
PAD,GPIOE_0,0x2008 bit[0],0x2009 bit[0],0x200a bit[0],,,,,,,I2S_IN_CH0 REG9[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_1,0x2008 bit[1],0x2009 bit[1],0x200a bit[1],,,,,,,I2S_IN_LR_CLK REG9[10],I2S_OUT_LR_CLK REG9[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_2,0x2008 bit[2],0x2009 bit[2],0x200a bit[2],,,,,,,,I2S_OUT_MCLK REG9[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_3,0x2008 bit[3],0x2009 bit[3],0x200a bit[3],,,,,,,I2S_IN_BCLK REG9[6],I2S_OUT_BCLK REG9[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_4,0x2008 bit[4],0x2009 bit[4],0x200a bit[4],,,,,,,,I2S_OUT_CH0 REG9[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_5,0x2008 bit[5],0x2009 bit[5],0x200a bit[5],,,,,,,,I2S_OUT_CH1 REG9[3] I2S_OUT_LR_CLK REG9[21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_6,0x2008 bit[6],0x2009 bit[6],0x200a bit[6],,,,,,,,I2S_OUT_CH2 REG9[2] I2S_OUT_MCLK REG9[20],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_7,0x2008 bit[7],0x2009 bit[7],0x200a bit[7],,,,,,,,I2S_OUT_CH3 REG9[1] I2S_OUT_BCLK REG9[19],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_8,0x2008 bit[8],0x2009 bit[8],0x200a bit[8],,,,,,,,SPDIF_OUT REG9[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_9,0x2008 bit[9],0x2009 bit[9],0x200a bit[9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_10,0x2008 bit[10],0x2009 bit[10],0x200a bit[10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOE_11,0x2008 bit[11],0x2009 bit[11],0x200a bit[11],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAD,GPIOY_0,0x201b bit[0],0x201c bit[0],0x201d bit[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF_CLK_IN REG6[31] REF_CLK_OUT REG6[30],,,,,,,,
PAD,GPIOY_1,0x201b bit[1],0x201c bit[1],0x201d bit[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_TX_CLK REG6[18],,,,,,,,
PAD,GPIOY_2,0x201b bit[2],0x201c bit[2],0x201d bit[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_TX_EN REG6[17],,,,,,,,
PAD,GPIOY_3,0x201b bit[3],0x201c bit[3],0x201d bit[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_TX_DATA3 REG6[16],,,,,,,,
PAD,GPIOY_4,0x201b bit[4],0x201c bit[4],0x201d bit[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_TX_DATA2 REG6[15],,,,,,,,
PAD,GPIOY_5,0x201b bit[5],0x201c bit[5],0x201d bit[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMII_TX_DATA1 REG6[14],,,,,,,,
